,pred
0,çak</s>
1,kalıbı değiştiriyoruz</s>
2,sirilecek olacak mısın</s>
3,suguracak olacakmışız</s>
4,giymiyorum</s>
5,boy ölçüşmüyorlardı</s>
6,boymak</s>
7,ilerlerimize</s>
8,kaşar olmayacakmışsın</s>
9,dozmamış mıyım</s>
10,kirletmek</s>
11,aldan</s>
12,elyamak</s>
13,ittirtmeyecek miyiz</s>
14,ağlamak</s>
15,evci</s>
16,etkilemek</s>
17,pisletmek</s>
18,tıkmak</s>
19,göçmek</s>
20,üremek</s>
21,süründürmek</s>
22,kovduruyor olmayacaklardı</s>
23,yontulcu</s>
24,demez miydiniz</s>
25,birleştirmek</s>
26,siliyor olmalı mıydın</s>
27,kanıtlığımıza</s>
28,üzmek</s>
29,kaynamak</s>
30,düzmek</s>
31,itmek</s>
32,dolardık</s>
33,talga</s>
34,kispiler misin</s>
35,sıvılaşıyor olacak mıymışız</s>
36,yolmak</s>
37,süpürmek</s>
38,ayalanmak</s>
39,kullanmak</s>
40,onarıyor olmalı mıydın</s>
41,anumak</s>
42,verdirmek</s>
43,tağlamak</s>
44,faklatacak olacak mıymışız</s>
45,yapılmameli mi</s>
46,kaynaştırmak</s>
47,bur</s>
48,döndürmek</s>
49,dizmek</s>
50,gütmeli misin</s>
51,üzerler miymişiz</s>
52,paten germiş olacak mıydınız</s>
53,şaşılmak</s>
54,yaptırtmak</s>
55,heyecanlandırmak</s>
56,ölçtürmek</s>
57,çökermek</s>
58,dövüşmek</s>
59,ağlaşacak olacak mıymışsınız</s>
60,çarışmak</s>
61,çizecek miyim</s>
62,girilmemeliymişiz</s>
63,kirleşmek</s>
64,dağılmak</s>
65,salmış mıydım</s>
66,ceniyor olmazdınız</s>
67,dolamak</s>
68,girmek</s>
69,sevişiyor olmayacak mıydın</s>
70,küsmek</s>
71,bir avuç toprak olmak</s>
72,oturtalarımız</s>
73,soğmak</s>
74,seçmek</s>
75,saydırtmadıydın</s>
76,yoymak</s>
77,arınıyor olmalıydım</s>
78,çikmecekler mi</s>
79,koşuluyor olmayacakmışsın</s>
80,attırmayacak mıydın</s>
81,ölçtürtmeliymişiz</s>
82,yapılmak</s>
83,misket</s>
84,ölçüşüyor olmaz mıydınız</s>
85,yaptırtmak</s>
86,kalabondunuzdan</s>
87,ölçüşmemeliyim</s>
88,paslamameli miydik</s>
89,heyecanlandırmak</s>
90,heyecanlandırmak</s>
91,havlatmak</s>
92,yanlavarınızdan</s>
93,sürümek</s>
94,peceklerdim</s>
95,üçülmek</s>
96,uzarınızda</s>
97,kuyduğut</s>
98,kaynaştırtmak</s>
99,paslarlar mıymış</s>
